datetime,sf6_conc,table_name,path
2023-03-24T16:32:39Z,2700.19995117188,airrec01,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:35:19Z,2492.39990234375,airrec01,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:38:04Z,2366.10009765625,airrec01,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:40:45Z,2174.69995117188,airrec01,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:43:25Z,2034.59997558594,airrec01,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:46:05Z,1879.5,airrec01,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:48:45Z,1797.5,airrec01,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:51:25Z,1680,airrec01,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:54:05Z,1539.09997558594,airrec01,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:56:46Z,1383.19995117188,airrec01,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T14:40:10Z,-0.285600006580353,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T14:42:51Z,-0.310900002717972,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T14:45:32Z,-0.295700013637543,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T14:48:12Z,-0.290499985218048,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T14:50:52Z,3.34050011634827,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T14:53:32Z,13.6450004577637,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T14:56:12Z,30.4449996948242,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T14:59:08Z,22.0090007781982,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:01:48Z,17.5149993896484,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:04:28Z,933.369995117187,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:07:08Z,1555.5,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:09:48Z,2644.19995117188,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:12:28Z,2866.80004882813,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:15:09Z,2997.10009765625,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:17:49Z,2842.69995117188,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:20:29Z,3233.60009765625,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:23:09Z,3106.19995117188,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:25:49Z,3080.60009765625,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:28:45Z,3302.89990234375,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:31:25Z,3162.60009765625,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:34:05Z,3065.5,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:36:45Z,3258.30004882813,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:39:25Z,3031,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:42:06Z,3278.19995117188,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:44:46Z,3027.19995117188,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:47:26Z,3087.5,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:50:02Z,3285.60009765625,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:52:46Z,3198.69995117188,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:55:26Z,3047,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:58:07Z,3360.39990234375,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:01:02Z,2548.10009765625,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:03:42Z,2081.19995117187,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:06:22Z,3394.39990234375,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:09:02Z,3211.69995117188,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:11:42Z,1836.09997558594,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:14:23Z,3387.19995117188,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:17:03Z,3629.89990234375,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:19:43Z,3570.30004882813,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:22:23Z,3366.60009765625,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:25:03Z,3212.89990234375,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:27:44Z,2131.80004882813,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:30:39Z,2736.10009765625,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
