datetime,vel,temperature,RH,equip_unit,s_r,loc,date_id
2023-05-22T15:28:12Z,0.26,30.2,71,VC-I,R,Room,220523
2023-05-22T15:29:12Z,0.24,30.2,71.1,VC-I,R,Room,220523
2023-05-22T15:30:12Z,0.5,30.2,71.2,VC-I,R,Room,220523
2023-05-22T15:31:12Z,0.46,30.2,71.4,VC-I,R,Room,220523
2023-05-22T15:32:12Z,0.36,30.2,71.5,VC-I,R,Room,220523
2023-05-22T15:33:12Z,0.32,30.2,71.6,VC-I,R,Room,220523
2023-05-22T15:34:12Z,0.43,30.2,71.6,VC-I,R,Room,220523
2023-05-22T15:35:12Z,0.47,30.2,71.7,VC-I,R,Room,220523
2023-05-22T15:36:12Z,0.41,30.2,71.9,VC-I,R,Room,220523
2023-05-22T15:37:12Z,0.36,30.1,72,VC-I,R,Room,220523
2023-05-22T15:38:12Z,0.27,30.2,71.9,VC-I,R,Room,220523
2023-05-22T12:50:35Z,0.32,29.8,75.2,VC-O,S,Room,220523
2023-05-22T12:51:35Z,0.29,29.8,75.6,VC-O,S,Room,220523
2023-05-22T12:52:35Z,0.27,29.8,75.8,VC-O,S,Room,220523
2023-05-22T12:53:35Z,0.32,29.8,75.1,VC-O,S,Room,220523
2023-05-22T12:54:35Z,0.29,29.8,75.1,VC-O,S,Room,220523
2023-05-22T12:55:35Z,0.31,29.8,75.2,VC-O,S,Room,220523
2023-05-22T12:56:35Z,0.27,29.8,75.2,VC-O,S,Room,220523
2023-05-22T12:57:35Z,0.29,29.8,74.6,VC-O,S,Room,220523
2023-05-22T12:58:35Z,0.29,29.8,73.9,VC-O,S,Room,220523
2023-05-22T12:59:35Z,0.27,29.8,73.6,VC-O,S,Room,220523
2023-05-22T13:00:35Z,0.32,29.8,73.4,VC-O,S,Room,220523
2023-05-22T13:01:35Z,0.26,29.8,73,VC-O,S,Room,220523
2023-05-22T13:02:35Z,0.28,29.8,72.9,VC-O,S,Room,220523
2023-05-22T13:03:35Z,0.29,29.8,72.8,VC-O,S,Room,220523
2023-05-22T13:04:35Z,0.29,29.8,72.7,VC-O,S,Room,220523
2023-05-22T13:05:35Z,0.3,29.8,72.7,VC-O,S,Room,220523
2023-05-22T13:06:35Z,0.26,29.8,72.8,VC-O,S,Room,220523
2023-05-22T13:07:35Z,0.29,29.7,72.9,VC-O,S,Room,220523
2023-05-22T13:08:35Z,0.3,29.8,73,VC-O,S,Room,220523
2023-05-22T13:09:35Z,0.3,29.7,73.2,VC-O,S,Room,220523
2023-05-22T13:10:35Z,0.33,29.7,73.2,VC-O,S,Room,220523
2023-05-22T13:11:35Z,0.34,29.8,73.1,VC-O,S,Room,220523
2023-05-22T13:12:35Z,0.3,29.8,73,VC-O,S,Room,220523
2023-05-22T13:13:35Z,0.27,29.8,72.9,VC-O,S,Room,220523
2023-05-22T13:14:35Z,0.27,29.8,72.8,VC-O,S,Room,220523
2023-05-22T13:15:35Z,0.29,29.8,72.9,VC-O,S,Room,220523
2023-05-22T13:16:35Z,0.28,29.8,72.8,VC-O,S,Room,220523
2023-05-22T13:17:35Z,0.28,29.8,72,VC-O,S,Room,220523
2023-05-22T13:18:35Z,0.3,29.8,71.6,VC-O,S,Room,220523
2023-05-22T13:19:35Z,0.26,29.8,71.5,VC-O,S,Room,220523
2023-05-22T13:20:35Z,0.25,29.8,71.6,VC-O,S,Room,220523
2023-05-22T13:21:35Z,0.31,29.8,71.6,VC-O,S,Room,220523
2023-05-22T13:22:35Z,0.25,29.8,71.6,VC-O,S,Room,220523
2023-05-22T13:23:35Z,0.24,29.8,71.7,VC-O,S,Room,220523
2023-05-22T13:24:35Z,0.28,29.8,71.7,VC-O,S,Room,220523
2023-05-22T13:25:35Z,0.29,29.8,71.6,VC-O,S,Room,220523
2023-05-22T13:26:35Z,0.27,29.9,71.6,VC-O,S,Room,220523
2023-05-22T13:27:35Z,0.27,29.9,71.4,VC-O,S,Room,220523
2023-05-22T13:28:35Z,0.3,29.9,71.3,VC-O,S,Room,220523
2023-05-22T13:29:35Z,0.3,29.9,71.3,VC-O,S,Room,220523
2023-05-22T13:30:35Z,0.3,29.9,71.3,VC-O,S,Room,220523
2023-05-22T13:31:35Z,0.29,29.9,71.3,VC-O,S,Room,220523
2023-05-22T13:32:35Z,0.29,29.9,71.2,VC-O,S,Room,220523
2023-05-22T13:33:35Z,0.28,29.9,71.1,VC-O,S,Room,220523
2023-05-22T13:34:35Z,0.3,29.9,70.9,VC-O,S,Room,220523
2023-05-22T13:35:35Z,0.31,29.9,70.7,VC-O,S,Room,220523
2023-05-22T13:36:35Z,0.29,29.9,70.6,VC-O,S,Room,220523
2023-05-22T13:37:35Z,0.29,29.9,70.6,VC-O,S,Room,220523
2023-05-22T13:38:35Z,0.31,29.9,70.4,VC-O,S,Room,220523
2023-05-22T13:39:35Z,0.3,29.9,70.3,VC-O,S,Room,220523
2023-05-22T13:40:35Z,0.3,29.9,70.3,VC-O,S,Room,220523
2023-05-22T13:41:35Z,0.32,29.9,70.5,VC-O,S,Room,220523
2023-05-22T13:42:35Z,0.3,29.9,70.5,VC-O,S,Room,220523
2023-05-22T13:43:35Z,0.29,29.9,70.4,VC-O,S,Room,220523
2023-05-22T13:44:35Z,0.28,29.9,70.3,VC-O,S,Room,220523
2023-05-22T13:45:35Z,0.28,29.9,70.4,VC-O,S,Room,220523
2023-05-22T13:46:35Z,0.29,29.9,70.5,VC-O,S,Room,220523
2023-05-22T13:47:35Z,0.28,29.9,70.6,VC-O,S,Room,220523
2023-05-22T13:48:35Z,0.29,29.9,70.7,VC-O,S,Room,220523
2023-05-22T13:49:35Z,0.29,29.9,70.8,VC-O,S,Room,220523
2023-05-22T13:50:35Z,0.29,29.9,70.8,VC-O,S,Room,220523
2023-05-22T13:51:35Z,0.3,30,70.8,VC-O,S,Room,220523
2023-05-22T13:52:35Z,0.31,30,70.7,VC-O,S,Room,220523
2023-05-22T13:53:35Z,0.27,30,70.2,VC-O,S,Room,220523
2023-05-22T13:54:35Z,0.31,30,70,VC-O,S,Room,220523
2023-05-22T13:55:35Z,0.29,30,70.1,VC-O,S,Room,220523
2023-05-22T13:56:35Z,0.3,30,70.2,VC-O,S,Room,220523
2023-05-22T13:57:35Z,0.3,30,70.4,VC-O,S,Room,220523
2023-05-22T13:58:35Z,0.31,30,70.5,VC-O,S,Room,220523
2023-05-22T13:59:35Z,0.28,30,70.7,VC-O,S,Room,220523
2023-05-22T14:00:35Z,0.31,30,70.8,VC-O,S,Room,220523
2023-05-22T14:01:35Z,0.29,30,70.9,VC-O,S,Room,220523
2023-05-22T14:02:35Z,0.31,30,70.9,VC-O,S,Room,220523
2023-05-22T14:03:35Z,0.3,30,70.9,VC-O,S,Room,220523
2023-05-22T14:04:35Z,0.3,30,70.9,VC-O,S,Room,220523
2023-05-22T14:05:35Z,0.29,30,70.8,VC-O,S,Room,220523
2023-05-22T14:06:35Z,0.33,30,70.5,VC-O,S,Room,220523
2023-05-22T14:07:35Z,0.33,30,70.3,VC-O,S,Room,220523
2023-05-22T14:08:35Z,0.29,29.9,70.4,VC-O,S,Room,220523
2023-05-22T14:09:35Z,0.32,29.9,70.3,VC-O,S,Room,220523
2023-05-22T14:10:35Z,0.27,29.9,70.1,VC-O,S,Room,220523
2023-05-22T14:11:35Z,0.26,30,70,VC-O,S,Room,220523
2023-05-22T14:12:35Z,0.31,29.9,69.9,VC-O,S,Room,220523
2023-05-22T14:13:35Z,0.29,29.9,70,VC-O,S,Room,220523
2023-05-22T14:14:35Z,0.29,29.9,70,VC-O,S,Room,220523
2023-05-22T14:15:35Z,0.26,30,70,VC-O,S,Room,220523
2023-05-22T14:16:35Z,0.28,30,69.9,VC-O,S,Room,220523
2023-05-22T14:17:35Z,0.27,30,69.9,VC-O,S,Room,220523
2023-05-22T14:18:35Z,0.35,30,69.8,VC-O,S,Room,220523
2023-05-22T14:19:35Z,0.31,30,69.6,VC-O,S,Room,220523
2023-05-22T14:20:35Z,0.28,30,69.7,VC-O,S,Room,220523
2023-05-22T14:21:35Z,0.28,30.1,69.4,VC-O,S,Room,220523
2023-05-22T14:22:35Z,0.28,30.1,69,VC-O,S,Room,220523
2023-05-22T14:23:35Z,0.28,30.1,69,VC-O,S,Room,220523
2023-05-22T14:24:35Z,0.31,30.1,68.9,VC-O,S,Room,220523
2023-05-22T14:25:35Z,0.28,30.1,68.5,VC-O,S,Room,220523
2023-05-22T14:26:35Z,0.29,30.1,68.3,VC-O,S,Room,220523
2023-05-22T14:27:35Z,0.28,30.1,68.1,VC-O,S,Room,220523
2023-05-22T14:28:35Z,0.28,30.1,67.9,VC-O,S,Room,220523
2023-05-22T14:29:35Z,0.3,30.1,67.8,VC-O,S,Room,220523
2023-05-22T14:30:35Z,0.29,30.1,68,VC-O,S,Room,220523
2023-05-22T14:31:35Z,0.34,30.1,68.3,VC-O,S,Room,220523
2023-05-22T14:32:35Z,0.31,30.1,68.5,VC-O,S,Room,220523
2023-05-22T14:33:35Z,0.3,30.1,68.8,VC-O,S,Room,220523
2023-05-22T14:34:35Z,0.28,30.1,68.6,VC-O,S,Room,220523
2023-05-22T14:35:35Z,0.31,30.1,68.6,VC-O,S,Room,220523
2023-05-22T14:36:35Z,0.28,30.1,68.7,VC-O,S,Room,220523
2023-05-22T14:37:35Z,0.28,30,68.6,VC-O,S,Room,220523
2023-05-22T14:38:35Z,0.31,30,68.7,VC-O,S,Room,220523
2023-05-22T14:39:35Z,0.27,30,68.9,VC-O,S,Room,220523
2023-05-22T14:40:35Z,0.29,30,68.5,VC-O,S,Room,220523
2023-05-22T14:41:35Z,0.3,30.1,68.4,VC-O,S,Room,220523
2023-05-22T14:42:35Z,0.29,30.1,68.3,VC-O,S,Room,220523
2023-05-22T14:43:35Z,0.27,30.1,68.4,VC-O,S,Room,220523
2023-05-22T14:44:35Z,0.28,30,68.6,VC-O,S,Room,220523
