datetime,wind_sensor_unit,vel_mag_WIMDA_19,vel_mag_WIMWV_3,temp_WIMDA_5,rh_WIMDA_9,vel_angle_WIMDA_13,vel_angle_WIMWV_1
2023-05-10T10:15:00Z,1,3.6,3.74901065,24.1444444444444,76.3333333333333,261.091980385569,271.081942158047
2023-05-10T10:16:00Z,1,2.8875,2.9911244,24.175,76.15,254.285398375645,264.94473478467
2023-05-10T10:17:00Z,1,2.28888888888889,2.29784986666667,24.2888888888889,76.1555555555556,254.595278338957,265.224445075719
2023-05-10T10:18:00Z,1,1.38888888888889,1.414721,24.4333333333333,76.1,245.326345506049,252.903014557048
2023-05-10T10:19:00Z,1,1.475,1.6462208,24.55,76,255.443877144024,265.994958920476
2023-05-10T10:20:00Z,1,2.28888888888889,2.3443948,24.5222222222222,75.4111111111111,258.819531790496,271.309483002479
2023-05-10T10:21:00Z,1,2.57777777777778,2.5979422,24.4555555555556,74.7,259.673765322355,269.674013778443
2023-05-10T10:22:00Z,1,2.9875,3.0352196,24.3875,74.1125,254.896803278307,266.594034168177
2023-05-10T10:23:00Z,1,2.97777777777778,3.0480807,24.3111111111111,73.5777777777778,258.149808076104,268.03455124566
2023-05-10T10:24:00Z,1,1.525,1.4771892,24.225,72.9125,256.59114820538,266.821934143382
2023-05-10T10:25:00Z,1,2.52222222222222,2.5501724,24.1555555555556,72.4777777777778,257.876599366957,269.84620865907
2023-05-10T10:26:00Z,1,1.625,1.57762826666667,24.2375,72.75,257.638402106047,265.480030603886
2023-05-10T10:27:00Z,1,1.84444444444444,1.8887444,24.2333333333333,72.5111111111111,260.774167922345,271.210472440536
2023-05-10T10:28:00Z,1,2.22,2.20182032,24.14,72.02,260.52069910718,272.103765412209
2023-05-10T10:29:00Z,1,2.125,2.27384248,24.0875,71.625,258.255652822899,268.595236700966
2023-05-10T10:30:00Z,1,2.81111111111111,2.6108033,23.9555555555556,71.2,251.20496720441,266.692723905197
2023-05-10T10:31:00Z,1,2.37777777777778,2.3664424,24.0666666666667,71.3,250.117114245968,255.729774838389
2023-05-10T10:32:00Z,1,2.6625,2.66653473333333,24.1,71.5,260.102346762381,271.327127427389
2023-05-10T10:33:00Z,1,3.17777777777778,3.20098488888889,24.0666666666667,71.2888888888889,260.811739057715,271.495579519383
2023-05-10T10:34:00Z,1,4.525,4.62356545,24,70.9,258.238373333661,268.45276255104
2023-05-10T10:35:00Z,1,4.42222222222222,4.38306288,23.8444444444444,70.3,258.39138615652,270.992226861687
2023-05-10T10:36:00Z,1,3.525,3.5349652,23.7875,70.15,258.392504862655,268.796777745862
2023-05-10T10:37:00Z,1,4.35555555555556,4.22701486666667,23.7333333333333,69.9444444444444,257.573010146048,268.461732217973
2023-05-10T10:38:00Z,1,3.65555555555556,3.53251546666667,23.6222222222222,69.4333333333333,258.633914371253,268.665836301043
2023-05-10T10:39:00Z,1,4.1,4.00408913333333,23.525,69.2375,257.810966344941,268.260134438486
2023-05-10T10:40:00Z,1,2.96666666666667,2.8367912,23.4555555555556,68.8111111111111,259.022078725934,271.146431611168
2023-05-10T10:41:00Z,1,3.95,3.95264473333333,23.6625,69.525,259.175549442327,270.400639195176
2023-05-10T10:42:00Z,1,3.9,3.9097744,23.8,70.38,262.028832364922,271.496939914027
2023-05-10T10:43:00Z,1,4.24444444444444,4.2055797,23.6666666666667,69.9666666666667,256.313946181663,267.382677940055
2023-05-10T10:44:00Z,1,4.0125,3.86861888,23.525,69.375,259.028140852246,269.986467368285
2023-05-10T10:45:00Z,1,4.64444444444445,4.64928765,23.5222222222222,69.3111111111111,257.89906124264,267.74109851156
2023-05-10T10:46:00Z,1,4.65,4.5344564,23.375,68.75,259.686446356468,269.993888297081
2023-05-10T10:47:00Z,1,3.71111111111111,3.68684866666667,23.4777777777778,69.0888888888889,253.453181111673,264.112394883579
2023-05-10T10:48:00Z,1,3.16666666666667,3.14954048888889,23.6,69.1555555555556,259.094472686266,270.153380685223
2023-05-10T10:49:00Z,1,4.125,4.02123726666667,23.675,69.475,259.208974491587,270.53286161804
2023-05-10T10:50:00Z,1,3.67777777777778,3.9354966,23.7,69.6666666666667,260.7339255422,274.806806941347
2023-05-10T10:51:00Z,1,4.0125,4.00623265,23.7,69.775,259.460607043165,269.936385743579
2023-05-10T10:52:00Z,1,3.81111111111111,4.0641076,23.6,69.2666666666667,257.973398527499,266.309183796075
2023-05-10T10:53:00Z,1,3.4125,3.2024139,23.55,69.05,261.553342770968,276.473909588625
2023-05-10T10:54:00Z,1,3.22222222222222,3.2667194,23.6777777777778,69.2444444444445,255.340185619787,269.754973472866
2023-05-10T10:55:00Z,1,2.18888888888889,2.131268,23.7888888888889,69.6555555555556,257.714038224146,270.321230293197
2023-05-10T10:56:00Z,1,2.275,2.3278591,23.825,69.8,265.070909623978,276.811191322824
2023-05-10T10:57:00Z,1,2.35555555555556,2.45003955,23.8888888888889,69.7666666666667,266.173002269348,277.388544595405
2023-05-10T10:58:00Z,1,3.47777777777778,3.50464975,23.8111111111111,69.4555555555556,260.105922968167,269.214640350378
2023-05-10T10:59:00Z,1,3.25,3.1528068,23.825,69.325,259.680677191833,271.99948728396
2023-05-10T11:00:00Z,1,1.31111111111111,1.31826275,23.9,69.2777777777778,256.946808125028,270.149447972375
2023-05-10T11:01:00Z,1,2.9375,2.92204192,23.9375,69.0875,262.702727033056,271.70155272945
2023-05-10T11:02:00Z,1,3.52222222222222,3.71257086666667,23.7,68.6444444444445,260.129743620485,272.157022572889
